,groups,channels,windows,amplitudes
118,BMIDMOD,fz,win_1,-6.292
119,BMIDMOD,fz,win_1,9.441
120,BMIDMOD,fz,win_1,3.974
121,BMIDMOD,fz,win_1,-0.409
122,BMIDMOD,fz,win_1,-4.43
123,BMIDMOD,fz,win_1,-1.156
124,BMIDMOD,fz,win_1,4.072
125,BMIDMOD,fz,win_1,-1.347
126,BMIDMOD,fz,win_1,2.381
127,BMIDMOD,fz,win_1,0.463
128,BMIDMOD,fz,win_1,3.069
129,BMIDMOD,fz,win_1,1.883
130,BMIDMOD,fz,win_1,3.024
131,BMIDMOD,fz,win_1,2.715
132,BMIDMOD,fz,win_1,-0.878
133,BMIDMOD,fz,win_1,2.411
134,BMIDMOD,cz,win_1,5.713
135,BMIDMOD,cz,win_1,1.748
136,BMIDMOD,cz,win_1,6.747
137,BMIDMOD,cz,win_1,0.55
138,BMIDMOD,cz,win_1,0.242
139,BMIDMOD,cz,win_1,-1.507
140,BMIDMOD,cz,win_1,-1.911
141,BMIDMOD,cz,win_1,4.125
142,BMIDMOD,cz,win_1,2.699
143,BMIDMOD,cz,win_1,2.241
144,BMIDMOD,cz,win_1,0.004
145,BMIDMOD,cz,win_1,3.65
146,BMIDMOD,cz,win_1,2.943
147,BMIDMOD,cz,win_1,1.082
148,BMIDMOD,cz,win_1,1.897
149,BMIDMOD,cz,win_1,-0.24
150,BMIDMOD,cz,win_1,1.25
151,BMIDMOD,pz,win_1,6.937
152,BMIDMOD,pz,win_1,7.004
153,BMIDMOD,pz,win_1,8.368
154,BMIDMOD,pz,win_1,0.293
155,BMIDMOD,pz,win_1,-0.4
156,BMIDMOD,pz,win_1,0.366
157,BMIDMOD,pz,win_1,-1.595
158,BMIDMOD,pz,win_1,3.332
159,BMIDMOD,pz,win_1,3.737
160,BMIDMOD,pz,win_1,0.762
161,BMIDMOD,pz,win_1,1.229
162,BMIDMOD,pz,win_1,2.778
163,BMIDMOD,pz,win_1,4.96
164,BMIDMOD,pz,win_1,5.458
165,BMIDMOD,pz,win_1,1.872
166,BMIDMOD,pz,win_1,-2.376
167,BMIDMOD,pz,win_1,-1.088
168,BMIDMOD,fz,win_2,6.374
169,BMIDMOD,fz,win_2,-3.517
170,BMIDMOD,fz,win_2,11.938
171,BMIDMOD,fz,win_2,1.988
172,BMIDMOD,fz,win_2,-3.702
173,BMIDMOD,fz,win_2,-2.964
174,BMIDMOD,fz,win_2,1.24
175,BMIDMOD,fz,win_2,3.322
176,BMIDMOD,fz,win_2,8.146
177,BMIDMOD,fz,win_2,-0.021
178,BMIDMOD,fz,win_2,-1.156
179,BMIDMOD,fz,win_2,2.022
180,BMIDMOD,fz,win_2,-1.6
181,BMIDMOD,fz,win_2,-10.647
182,BMIDMOD,fz,win_2,2.249
183,BMIDMOD,fz,win_2,-2.215
184,BMIDMOD,fz,win_2,1.57
185,BMIDMOD,cz,win_2,0.574
186,BMIDMOD,cz,win_2,-3.658
187,BMIDMOD,cz,win_2,8.099
188,BMIDMOD,cz,win_2,-0.441
189,BMIDMOD,cz,win_2,-5.382
190,BMIDMOD,cz,win_2,0.875
191,BMIDMOD,cz,win_2,-1.218
192,BMIDMOD,cz,win_2,0.843
193,BMIDMOD,cz,win_2,10.69
194,BMIDMOD,cz,win_2,-0.502
195,BMIDMOD,cz,win_2,-1.86
196,BMIDMOD,cz,win_2,0.358
197,BMIDMOD,cz,win_2,0.267
198,BMIDMOD,cz,win_2,-3.808
199,BMIDMOD,cz,win_2,0.654
200,BMIDMOD,cz,win_2,-2.902
201,BMIDMOD,cz,win_2,1.493
202,BMIDMOD,pz,win_2,3.818
203,BMIDMOD,pz,win_2,-3.619
204,BMIDMOD,pz,win_2,7.83
205,BMIDMOD,pz,win_2,-0.386
206,BMIDMOD,pz,win_2,4.457
207,BMIDMOD,pz,win_2,3.485
208,BMIDMOD,pz,win_2,1.404
209,BMIDMOD,pz,win_2,-0.703
210,BMIDMOD,pz,win_2,7.994
211,BMIDMOD,pz,win_2,0.962
212,BMIDMOD,pz,win_2,-0.262
213,BMIDMOD,pz,win_2,0.119
214,BMIDMOD,pz,win_2,3.028
215,BMIDMOD,pz,win_2,0.314
216,BMIDMOD,pz,win_2,1.098
217,BMIDMOD,pz,win_2,-2.18
218,BMIDMOD,pz,win_2,1.984
219,BMIDMOD,fz,win_3,0.314
220,BMIDMOD,fz,win_3,-5.88
221,BMIDMOD,fz,win_3,9.635
222,BMIDMOD,fz,win_3,2.816
223,BMIDMOD,fz,win_3,0.509
224,BMIDMOD,fz,win_3,0.83
225,BMIDMOD,fz,win_3,5.243
226,BMIDMOD,fz,win_3,6.398
227,BMIDMOD,fz,win_3,11.268
228,BMIDMOD,fz,win_3,4.899
229,BMIDMOD,fz,win_3,0.601
230,BMIDMOD,fz,win_3,1.1
231,BMIDMOD,fz,win_3,-0.744
232,BMIDMOD,fz,win_3,-2.734
233,BMIDMOD,fz,win_3,0.753
234,BMIDMOD,fz,win_3,0.525
235,BMIDMOD,fz,win_3,4.923
236,BMIDMOD,cz,win_3,-2.227
237,BMIDMOD,cz,win_3,-2.199
238,BMIDMOD,cz,win_3,11.93
239,BMIDMOD,cz,win_3,1.265
240,BMIDMOD,cz,win_3,0.593
241,BMIDMOD,cz,win_3,2.42
242,BMIDMOD,cz,win_3,5.758
243,BMIDMOD,cz,win_3,4.023
244,BMIDMOD,cz,win_3,12.301
245,BMIDMOD,cz,win_3,5.495
246,BMIDMOD,cz,win_3,-0.011
247,BMIDMOD,cz,win_3,-1.572
248,BMIDMOD,cz,win_3,1.309
249,BMIDMOD,cz,win_3,-2.429
250,BMIDMOD,cz,win_3,-0.456
251,BMIDMOD,cz,win_3,-0.927
252,BMIDMOD,cz,win_3,3.939
253,BMIDMOD,pz,win_3,0.876
